Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-November-2024,2508.85,2508.85,2466.70,2475.60,2479.543808922149868791,41156,6579,102048105.00,20366,49.48,42.15,-33.25
6-November-2024,2510.35,2521.20,2495.85,2501.35,2505.913893574605121913,39126,3270,98046387.00,16517,42.21,25.35,-9.00
5-November-2024,2521.00,2529.65,2507.00,2521.20,2516.983220613572659243,77774,6908,195755853.00,56839,73.08,22.65,0.20
4-November-2024,2540.00,2548.70,2503.30,2525.90,2525.012803135221145062,67874,6865,171382719.00,40443,59.59,45.40,-14.10
1-November-2024,2550.05,2550.05,2515.00,2538.35,2536.968382861091914305,5788,1216,14683973.00,4199,72.55,35.05,-11.70
31-October-2024,2564.55,2564.55,2523.05,2527.50,2530.893477629636799186,165308,13866,418376939.00,25885,15.66,41.50,-37.05
30-October-2024,2550.00,2562.95,2533.95,2554.95,2553.601801868880533114,26861,3934,68592298.00,12307,45.82,29.00,4.95
29-October-2024,2589.95,2589.95,2536.25,2549.20,2551.166851754082542919,54929,2822,140133044.00,38480,70.05,53.70,-40.75
28-October-2024,2547.95,2589.20,2521.60,2575.25,2561.979093636507184588,31665,3009,81125068.00,16050,50.69,67.60,27.30
25-October-2024,2525.00,2540.00,2500.25,2527.55,2522.196902882567630689,126311,12116,318581213.00,51099,40.45,39.75,2.55
24-October-2024,2650.00,2650.00,2453.10,2502.95,2504.744353267607296770,169390,14551,424278646.00,50935,30.07,196.90,-147.05
23-October-2024,2650.00,2692.00,2633.55,2658.00,2674.221639649173441082,62367,7672,166783181.00,39700,63.66,58.45,8.00
22-October-2024,2680.05,2710.00,2673.20,2682.05,2695.322036485764445462,39303,4719,105934242.00,17279,43.96,36.80,2.00
21-October-2024,2715.65,2735.85,2682.00,2693.60,2704.869940057722193443,54052,3033,146203630.00,26089,48.27,53.85,-22.05
18-October-2024,2734.10,2740.95,2695.00,2715.65,2715.538437620181489391,122211,6935,331868668.00,35186,28.79,45.95,-18.45
17-October-2024,2780.00,2781.60,2723.70,2737.00,2752.217916948261620485,13317,1732,36651286.00,4270,32.06,57.90,-43.00
16-October-2024,2782.05,2797.00,2757.55,2781.10,2773.008866794581080295,34398,2314,95385959.00,24678,71.74,39.45,-0.95
15-October-2024,2792.00,2798.00,2765.00,2780.70,2787.281778836802178564,41128,2625,114635325.00,27991,68.06,33.00,-11.30
14-October-2024,2783.95,2803.65,2766.80,2789.00,2788.251898409440738840,38980,2984,108686059.00,19298,49.51,36.85,5.05
11-October-2024,2755.60,2790.00,2738.70,2780.55,2776.559247897794940272,138545,9170,384678401.00,25050,18.08,51.30,24.95
10-October-2024,2772.00,2786.00,2733.25,2754.20,2752.473647586402412308,38801,5185,106798730.00,14997,38.65,52.75,-17.80
9-October-2024,2849.95,2849.95,2761.50,2769.10,2797.034604004150174845,52046,4253,145574463.00,32211,61.89,88.45,-80.85
8-October-2024,2834.30,2886.10,2800.00,2816.50,2843.679302544504236156,71173,6774,202393187.00,31750,44.61,86.10,-17.80
7-October-2024,2830.25,2864.40,2826.20,2834.25,2839.049982338396326386,62282,6788,176821711.00,29869,47.96,38.20,4.00
4-October-2024,2885.40,2913.80,2819.00,2848.85,2862.599100734893588555,209282,19806,599090465.00,33431,15.97,94.80,-36.55
3-October-2024,2917.95,2921.95,2862.90,2895.30,2897.263805884850266157,30621,3406,88717115.00,14526,47.44,59.05,-22.65
1-October-2024,2958.05,2970.65,2891.00,2921.95,2922.085780693896327143,41303,5752,120690909.00,13605,32.94,79.65,-36.10
30-September-2024,2974.25,2997.75,2943.50,2959.40,2970.329181563064621535,26013,2821,77267173.00,7342,28.22,54.25,-14.85
27-September-2024,2981.45,3029.00,2954.45,2966.00,2985.846539795433339788,56803,4800,169605041.00,14083,24.79,74.55,-15.45
26-September-2024,2949.00,2993.10,2943.10,2985.25,2962.743251548243747931,21153,2745,62670908.00,6613,31.26,50.00,36.25
25-September-2024,2965.80,2965.80,2905.80,2945.90,2929.806335267367100517,19131,2284,56050125.00,5719,29.89,60.00,-19.90
24-September-2024,3025.95,3025.95,2946.10,2950.20,2979.166453544584100053,32063,3774,95521014.00,12039,37.55,79.85,-75.75
23-September-2024,2975.00,3034.50,2971.55,3027.80,3007.240138805672059117,80112,8740,240916022.00,47893,59.78,62.95,52.80
20-September-2024,2920.00,2990.05,2896.20,2979.60,2957.523280257020105430,369154,24714,1091781549.00,46178,12.51,93.85,59.60
19-September-2024,2875.00,2934.00,2875.00,2911.35,2912.820704999129937604,80454,7982,234348077.00,50069,62.23,59.00,36.35
18-September-2024,2870.70,2892.60,2861.75,2876.45,2877.930267508265704839,9981,1065,28724622.00,3489,34.96,30.85,5.75
17-September-2024,2867.10,2912.70,2865.00,2873.45,2877.280511612251767081,29710,3802,85484004.00,17239,58.02,47.70,6.35
16-September-2024,2925.00,2925.00,2820.70,2866.50,2863.687007342619587517,74088,8624,212164843.00,28854,38.95,104.30,-58.50
13-September-2024,2955.00,2955.00,2919.15,2933.95,2934.821887213847012841,155817,11477,457295142.00,28800,18.48,35.85,-21.05
12-September-2024,2918.95,2962.80,2894.30,2953.35,2937.623721673297853937,98273,7455,288689096.00,79031,80.42,68.50,34.40
11-September-2024,2907.20,2949.95,2899.15,2904.95,2921.409792662380084585,29083,3613,84963361.00,7707,26.50,50.80,-2.25
10-September-2024,2925.05,2938.00,2888.00,2898.50,2908.236231884057971014,46230,5545,134447761.00,23025,49.81,50.00,-26.55
9-September-2024,2840.70,2937.50,2840.70,2922.10,2900.621241169663367704,115794,12197,335874536.00,38730,33.45,96.80,81.40
6-September-2024,2835.95,2865.50,2828.70,2838.45,2841.682782579043275327,187682,15806,533332708.00,,,36.80,2.50
5-September-2024,2825.45,2855.00,2825.00,2836.25,2840.632041365394316462,23788,2393,67572955.00,10355,43.53,30.00,10.80
4-September-2024,2789.45,2844.00,2775.00,2841.10,2825.610219101957706746,47147,3246,133219045.00,21878,46.40,69.00,51.65
3-September-2024,2780.30,2826.30,2778.10,2793.90,2808.229694154912997881,46723,3813,131208916.00,24016,51.40,48.20,13.60
2-September-2024,2780.30,2808.10,2778.65,2788.05,2795.533691002339817068,42311,4685,118281826.00,20757,49.06,29.45,7.75
30-August-2024,2799.90,2816.70,2761.00,2778.10,2782.111687027234931042,163797,10637,455701548.00,22369,13.66,55.70,-21.80
29-August-2024,2767.05,2810.00,2748.00,2783.85,2782.838823036119559936,150251,9893,418124316.00,96292,64.09,62.00,16.80
28-August-2024,2763.95,2780.50,2745.90,2766.45,2760.901198701842546063,38208,4522,105488513.00,17841,46.69,34.60,2.50
27-August-2024,2810.00,2823.80,2760.00,2767.15,2796.322354748350953284,44268,3369,123787598.00,22681,51.24,63.80,-42.85
26-August-2024,2817.70,2834.75,2804.60,2820.70,2821.512313721003403792,34961,3536,98642892.00,21074,60.28,30.15,3.00
23-August-2024,2800.00,2820.00,2771.25,2813.90,2808.210326194305708400,141756,10014,398080663.00,31101,21.94,48.75,13.90
22-August-2024,2800.05,2809.95,2782.80,2791.55,2792.809773616883902990,24781,3067,69208619.00,10178,41.07,27.15,-8.50
21-August-2024,2754.95,2795.00,2750.00,2789.95,2776.735794902781674183,46339,3317,128671160.00,31318,67.58,45.00,35.00
20-August-2024,2742.10,2755.00,2735.00,2750.70,2745.008480104370515329,24528,3318,67329568.00,16243,66.22,20.00,8.60
19-August-2024,2741.15,2759.40,2737.05,2744.20,2748.996497711102531575,36262,3231,99684111.00,22469,61.96,22.35,3.05
16-August-2024,2727.25,2754.70,2711.00,2749.10,2734.392414672847764537,160705,10723,439430533.00,47839,29.77,43.70,21.85
14-August-2024,2729.25,2741.95,2707.20,2724.10,2724.785861896957172379,14033,1511,38236920.00,6123,43.63,34.75,-5.15
13-August-2024,2745.00,2756.95,2729.10,2740.70,2746.145336038330383735,92668,6770,254479796.00,64878,70.01,27.85,-4.30
12-August-2024,2725.10,2762.80,2723.15,2748.15,2744.318272012602432633,66019,4504,181177148.00,38108,57.72,39.65,23.05
9-August-2024,2752.00,2752.90,2720.00,2748.60,2741.079067388202353067,185715,9717,509059499.00,112106,60.36,32.90,-3.40
8-August-2024,2745.85,2760.00,2722.40,2733.15,2740.931089385474860335,35800,4352,98125333.00,8556,23.90,37.60,-12.70
7-August-2024,2780.00,2780.00,2735.70,2743.65,2762.339960889908162951,97673,7268,269806031.00,54873,56.18,44.30,-36.35
6-August-2024,2716.10,2771.00,2707.70,2750.25,2753.003901879213886099,139420,9027,383823804.00,58798,42.17,63.30,34.15
5-August-2024,2550.05,2742.00,2550.05,2715.90,2717.683871067290036877,194427,15714,528391122.00,,,191.95,165.85
2-August-2024,2705.05,2759.00,2681.55,2693.50,2706.370598043351614134,248895,16060,673602110.00,52055,20.91,77.45,-11.55
1-August-2024,2710.35,2724.05,2695.05,2715.80,2707.998395061728395061,81000,6441,219347870.00,40938,50.54,29.00,5.45
31-July-2024,2692.15,2708.00,2676.00,2706.05,2691.385776293823038397,44925,3180,120910506.00,29567,65.81,32.00,13.90
30-July-2024,2715.05,2754.00,2685.50,2690.75,2723.843196127670415256,54954,5202,149686079.00,22690,41.29,68.50,-24.30
29-July-2024,2711.75,2720.00,2692.15,2715.05,2706.758032215933826730,80395,5422,217609812.00,44088,54.84,27.85,3.30
26-July-2024,2709.30,2726.10,2687.45,2711.75,2709.660392304447189435,329489,16581,892803293.00,58039,17.61,38.65,2.45
25-July-2024,2702.30,2724.00,2671.10,2709.25,2703.194218312324929971,45696,4071,123525163.00,17026,37.26,52.90,6.95
24-July-2024,2759.95,2759.95,2674.10,2716.80,2717.288955950125154981,128241,9703,348467853.00,65448,51.04,85.85,-43.15
23-July-2024,2736.05,2812.00,2730.45,2766.50,2772.842472266244057052,119890,9627,332436084.00,36908,30.78,81.55,30.45
22-July-2024,2709.95,2748.00,2707.95,2734.50,2730.479657387580299785,42497,3649,116037194.00,19781,46.55,40.05,24.55
19-July-2024,2725.45,2743.15,2716.25,2726.65,2727.910308620489615964,172380,14440,470237179.00,24157,14.01,26.90,1.20
18-July-2024,2692.00,2750.00,2655.05,2736.45,2721.991369124864900462,258143,20960,702663018.00,133290,51.63,94.95,44.45
16-July-2024,2620.65,2724.95,2620.65,2689.65,2686.427526725128211566,159307,9990,427966710.00,70743,44.41,104.30,69.00
15-July-2024,2625.25,2628.25,2613.50,2618.90,2620.797253299158324962,57742,5839,151330075.00,35127,60.83,14.75,-6.35
12-July-2024,2600.00,2639.00,2599.95,2622.40,2624.144852239008023767,273313,20401,717212902.00,56652,20.73,39.05,22.40
11-July-2024,2611.55,2616.00,2590.00,2610.10,2608.811638517377120225,83069,8801,216711374.00,46669,56.18,26.00,-1.45
10-July-2024,2588.95,2625.90,2573.00,2610.60,2602.852045684545323116,34585,3447,90019638.00,14451,41.78,52.90,21.65
9-July-2024,2585.00,2614.05,2568.15,2589.45,2594.814900806878002804,43501,4570,112877043.00,22251,51.15,45.90,4.45
8-July-2024,2555.05,2595.00,2536.30,2586.80,2576.914780925768992922,174644,15940,450042705.00,113772,65.14,58.70,31.75
5-July-2024,2495.00,2555.00,2495.00,2547.20,2535.503873729848454082,349663,28650,886571891.00,107374,30.71,60.00,52.20
4-July-2024,2519.95,2535.00,2493.55,2496.95,2510.582322892107331312,35628,4864,89447027.00,13916,39.06,41.45,-23.00
3-July-2024,2485.00,2516.50,2474.15,2510.25,2497.148364818682361875,84272,7722,210439687.00,53900,63.96,42.35,25.25
2-July-2024,2515.00,2515.25,2480.25,2485.15,2491.822590247334524002,18477,1989,46041406.00,7531,40.76,35.00,-29.85
1-July-2024,2470.00,2522.90,2455.30,2502.25,2505.134462151394422310,161644,12902,404939955.00,91714,56.74,67.60,32.25
28-June-2024,2471.75,2490.00,2463.05,2475.20,2478.539027010786679773,306211,30100,758955914.00,44809,14.63,26.95,3.45
27-June-2024,2462.95,2482.95,2435.75,2462.55,2466.091869608895971178,86601,7874,213566022.00,48284,55.75,47.20,-0.40
26-June-2024,2432.10,2466.00,2431.25,2446.70,2448.728989236400536367,27593,2283,67567779.00,12380,44.87,34.75,14.60
25-June-2024,2443.00,2443.35,2428.00,2431.90,2438.297230314361493977,45998,4643,112156796.00,32995,71.73,15.35,-11.10
24-June-2024,2435.25,2467.00,2429.00,2441.60,2447.262765602402936922,71912,6817,175987560.00,29971,41.68,38.00,6.35
21-June-2024,2481.75,2481.75,2425.60,2441.35,2443.000983681849184777,291761,23893,712772410.00,29306,10.04,56.15,-40.40
20-June-2024,2459.95,2489.55,2447.00,2481.80,2474.363058893047075044,81232,6859,200997460.00,38952,47.95,42.55,21.85
19-June-2024,2492.40,2497.70,2452.40,2457.30,2474.335778384705423332,25630,2363,63417226.00,11514,44.92,45.30,-35.10
18-June-2024,2475.05,2497.00,2473.65,2484.40,2485.201461055664162979,29157,2352,72461019.00,14324,49.13,23.35,9.35
14-June-2024,2475.00,2509.60,2470.05,2479.25,2483.100443976776599377,108339,9781,269016619.00,30161,27.84,39.55,4.25
13-June-2024,2495.35,2505.00,2446.90,2487.55,2491.963377316799453517,143463,12200,357504542.00,76421,53.27,58.10,-7.80
12-June-2024,2574.45,2574.45,2517.50,2529.00,2532.435300730747611017,35580,3381,90104048.00,16019,45.02,56.95,-45.45
11-June-2024,2564.10,2577.05,2552.20,2555.35,2560.278507230831823057,54074,3005,138444500.00,36451,67.41,24.85,-8.75
10-June-2024,2571.50,2591.40,2546.80,2564.20,2565.123573082142572044,50108,5767,128533212.00,32997,65.85,44.60,-7.30
7-June-2024,2555.00,2597.50,2527.25,2576.65,2569.556254938894383452,402418,31179,1034035689.00,83882,20.84,70.25,21.65
