Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-November-2024,481.60,482.00,476.10,478.00,478.098037246405922695,418188,15004,199934862.00,204113,48.81,5.90,-3.60
6-November-2024,481.00,484.20,478.20,481.30,480.046266372076536873,4172577,5047,2003030010.00,4055791,97.20,6.00,0.30
5-November-2024,483.90,485.35,477.00,480.05,480.220601376886479254,400614,14794,192383096.00,154909,38.67,8.35,-3.85
4-November-2024,492.90,492.90,479.60,484.70,483.499685124308102098,663754,20011,320924850.00,345555,52.06,13.30,-8.20
1-November-2024,498.30,498.30,489.20,490.55,491.498308109917078793,80679,4724,39653592.00,53209,65.95,9.10,-7.75
31-October-2024,493.55,493.55,485.00,488.50,488.490985768800635153,585685,11353,286101843.00,332987,56.85,8.55,-5.05
30-October-2024,488.00,493.30,486.65,491.45,490.584099071207430340,282625,9092,138651331.00,110567,39.12,6.65,3.45
29-October-2024,485.00,489.40,481.35,487.95,485.253406040381341963,297266,4312,144249339.00,131349,44.19,8.05,2.95
28-October-2024,480.40,485.85,476.00,484.10,481.849283086897370292,178613,5320,86064546.00,56134,31.43,9.85,3.70
25-October-2024,475.95,493.50,474.50,482.10,486.357576077644380288,1704180,35178,828840854.00,532830,31.27,19.00,6.15
24-October-2024,482.95,482.95,470.00,471.85,475.008519835156160684,551067,25137,261761520.00,312119,56.64,12.95,-11.10
23-October-2024,481.65,483.15,479.45,480.55,481.703996998923000592,413185,5900,199032866.00,303602,73.48,3.70,-1.10
22-October-2024,483.65,488.25,480.75,481.70,483.819091180729537775,435070,16060,210495172.00,224864,51.68,7.50,-1.95
21-October-2024,486.65,487.50,477.50,483.65,483.596740295277433853,384452,6475,185919734.00,284834,74.09,10.00,-3.00
18-October-2024,488.90,491.30,478.35,486.65,484.023659475496160060,521102,9075,252225697.00,165561,31.77,12.95,-2.25
17-October-2024,494.65,494.90,487.90,488.80,490.743644153702677497,295948,13193,145234600.00,149449,50.50,7.00,-5.85
16-October-2024,497.00,498.90,492.45,493.20,496.283849840480105690,355755,10307,176555461.00,225539,63.40,6.45,-3.80
15-October-2024,497.15,499.40,494.50,498.55,497.784492301002154533,202364,4383,100733661.00,101500,50.16,4.90,1.40
14-October-2024,491.25,498.90,488.60,496.85,494.704651351690628622,406269,14138,200983164.00,206301,50.78,10.30,5.60
11-October-2024,492.05,493.90,487.35,488.45,489.098169365274753022,633660,13409,309921946.00,244655,38.61,6.55,-3.60
10-October-2024,495.70,495.70,489.55,492.00,493.279636931500918099,757543,20769,373680536.00,464430,61.31,6.15,-3.70
9-October-2024,513.95,513.95,490.60,491.80,499.909185683565851427,642674,14425,321278636.00,360009,56.02,23.35,-22.15
8-October-2024,510.50,512.50,506.00,507.90,508.701721419623421595,419886,14982,213596731.00,175644,41.83,6.50,-2.60
7-October-2024,507.85,514.80,507.00,510.50,511.141839793261882946,522787,12217,267218309.00,217036,41.52,7.80,2.65
