Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
7-November-2024,4184.00,4205.25,4085.05,4149.40,4146.178501847497480685,44655,4625,185147601.00,13140,29.43,120.20,-34.60
6-November-2024,4000.05,4149.80,3977.00,4138.80,4015.576500543437523424,426912,13175,1714297795.00,352725,82.62,172.80,138.75
5-November-2024,3950.00,3985.50,3947.35,3971.75,3968.555977795164114600,26841,2991,106520011.00,10781,40.17,38.15,21.75
4-November-2024,3969.95,3986.25,3915.00,3962.40,3950.053277397554480112,69842,9658,275879621.00,28856,41.32,71.25,-7.55
1-November-2024,3992.95,3996.00,3979.75,3985.40,3987.911364429452134465,17194,4224,68568148.00,11609,67.52,16.25,-7.55
31-October-2024,4058.45,4079.95,3959.00,3971.25,3987.890142206631523786,417913,25329,1666591133.00,226445,54.18,120.95,-87.20
30-October-2024,4099.95,4107.80,4061.05,4085.60,4093.336124615032197307,39289,4574,160823083.00,17552,44.67,46.75,-14.35
29-October-2024,4090.05,4101.00,4059.55,4077.15,4075.744680004377369002,100517,8340,409681628.00,63132,62.81,41.45,-12.90
28-October-2024,4058.05,4133.00,4051.05,4093.05,4098.929948369353708844,77086,6764,315970114.00,43167,56.00,81.95,35.00
25-October-2024,4069.90,4091.75,4034.00,4057.90,4065.017295143703849700,142063,15999,577488552.00,37424,26.34,57.75,-12.00
24-October-2024,4016.35,4075.60,4016.35,4048.15,4046.319045323047251687,41480,5947,167841314.00,23661,57.04,59.25,31.80
23-October-2024,3986.55,4113.65,3986.55,4066.75,4067.785751584176581001,70857,8269,288231095.00,32975,46.54,127.10,80.20
22-October-2024,4054.05,4090.00,4008.00,4015.80,4064.844476097213567168,44932,3980,182641592.00,25599,56.97,82.00,-38.25
21-October-2024,4125.05,4138.15,4062.85,4078.30,4093.431193963243944987,49298,4025,201797971.00,22010,44.65,75.30,-46.75
18-October-2024,4109.00,4146.10,4090.00,4121.85,4122.928649582113949748,151716,10673,625514243.00,54990,36.25,56.10,12.85
17-October-2024,4118.75,4129.00,4092.25,4106.20,4106.259363547606582428,70673,4192,290201668.00,45942,65.01,36.75,-12.55
16-October-2024,4077.50,4114.60,4068.30,4094.80,4084.002826310380267214,97300,11782,397373475.00,57185,58.77,46.30,17.30
15-October-2024,4145.00,4169.00,4095.50,4117.50,4116.589044499474089595,120743,11445,497049311.00,76940,63.72,73.50,-27.50
14-October-2024,4145.00,4166.40,4121.95,4136.65,4142.265515410112256670,54607,7167,226196693.00,20699,37.91,44.45,-8.35
11-October-2024,4140.00,4240.00,4112.65,4150.60,4155.440287714358753471,285561,26324,1186631684.00,62313,21.82,127.35,10.60
10-October-2024,4248.05,4293.30,4200.00,4228.40,4254.312983078096337366,48517,4876,206406503.00,12825,26.43,93.30,-19.65
9-October-2024,4274.65,4295.00,4245.65,4252.30,4271.238957365124267528,24745,2671,105691808.00,5824,23.54,49.35,-22.35
8-October-2024,4270.85,4272.85,4205.00,4251.30,4232.136055125605264246,48326,4663,204522207.00,25318,52.39,67.85,-19.55
7-October-2024,4265.05,4297.25,4229.00,4272.25,4256.023002866171823326,95249,7124,405381935.00,59142,62.09,68.25,7.20
4-October-2024,4225.00,4299.00,4224.65,4249.10,4253.628776775150541242,226516,18243,963514976.00,31247,13.79,74.35,24.10
3-October-2024,4277.95,4277.95,4209.30,4232.40,4228.759984768048742244,89286,4702,377569064.00,63762,71.41,68.65,-45.55
1-October-2024,4255.00,4295.20,4243.10,4286.30,4265.090555783753041170,126596,9915,539943404.00,81848,64.65,52.10,31.30
30-September-2024,4294.95,4296.45,4259.85,4268.40,4275.226424062666362461,52596,5920,224859809.00,16479,31.33,36.60,-26.55
27-September-2024,4343.35,4378.45,4300.10,4309.05,4329.732482459379615952,86656,7721,375197298.00,17885,20.64,78.35,-34.30
26-September-2024,4255.00,4316.35,4255.00,4291.25,4288.402442119090624113,66991,7429,287284368.00,24173,36.08,61.35,36.25
25-September-2024,4257.95,4289.00,4240.00,4275.95,4261.677885321625018362,61267,7143,261100219.00,26701,43.58,49.00,18.00
24-September-2024,4264.95,4290.00,4243.35,4272.40,4264.700639426076107298,25648,3394,109381042.00,11144,43.45,46.65,7.45
23-September-2024,4286.05,4303.95,4252.70,4267.55,4273.054075176777074804,53740,7792,229633926.00,25741,47.90,51.25,-18.50
20-September-2024,4320.95,4331.20,4226.60,4285.30,4272.557046473786561892,503940,34161,2153112398.00,91980,18.25,104.60,-35.65
19-September-2024,4397.75,4421.00,4282.90,4296.85,4337.509237776059121766,81459,11615,353329165.00,31036,38.10,138.10,-100.90
18-September-2024,4516.95,4516.95,4321.65,4346.60,4373.074880525253112153,68843,8119,301055594.00,38232,55.54,195.30,-170.35
17-September-2024,4505.15,4535.00,4468.75,4503.65,4503.754145354392670451,17791,2394,80126290.00,4186,23.53,66.25,-1.50
16-September-2024,4530.00,4544.80,4495.95,4513.00,4516.826790116034389466,16633,2232,75128380.00,4738,28.49,48.85,-17.00
13-September-2024,4530.00,4546.50,4505.75,4522.25,4526.772168672798119547,126778,8245,573895122.00,13512,10.66,40.75,-7.75
12-September-2024,4501.55,4530.20,4431.70,4517.20,4484.726284734479802309,39658,5462,177855275.00,17215,43.41,98.50,15.65
11-September-2024,4520.00,4548.00,4473.60,4485.25,4507.850752469762718123,21662,2771,97649063.00,7474,34.50,74.40,-34.75
10-September-2024,4453.00,4539.95,4441.00,4506.90,4483.829306608096117761,68749,7342,308258781.00,39208,57.03,98.95,53.90
9-September-2024,4401.10,4490.00,4401.10,4453.00,4463.701370757180156657,39832,5474,177798153.00,20715,52.01,88.90,51.90
6-September-2024,4479.95,4517.80,4440.25,4457.50,4462.106231778425655976,197568,18411,881569404.00,,,77.55,-22.45
5-September-2024,4484.00,4498.00,4455.00,4480.35,4469.237685391531545377,26026,4237,116316380.00,10808,41.53,43.00,-3.65
4-September-2024,4479.00,4486.45,4438.35,4479.65,4471.835816798251874951,91069,3311,407245616.00,68264,74.96,48.10,0.65
3-September-2024,4540.10,4555.00,4495.50,4512.20,4529.167365960994410201,73169,2897,331394647.00,60848,83.16,59.50,-27.90
2-September-2024,4584.85,4585.90,4513.75,4520.85,4548.895101925254813137,28256,3413,128533580.00,13142,46.51,72.15,-64.00
30-August-2024,4513.05,4580.00,4488.70,4551.85,4542.150592228547183820,141415,14226,642328226.00,23220,16.42,91.30,38.80
29-August-2024,4450.00,4555.00,4450.00,4510.55,4522.984671532846715328,50690,7264,229270093.00,19803,39.07,105.00,60.55
28-August-2024,4500.00,4563.15,4457.85,4506.75,4520.468061841686390123,72249,3650,326599297.00,47596,65.88,105.30,6.75
27-August-2024,4501.15,4511.15,4485.65,4494.25,4495.552905646278624468,64237,4082,288780832.00,50643,78.84,25.50,-6.90
26-August-2024,4480.30,4551.00,4480.30,4501.15,4514.102087274359549841,155945,12779,703951650.00,107772,69.11,70.70,20.85
